Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Health (Life Expectancy),Generosity,Freedom,Trust (Government Corruption)
Finland,1,7.632000000000001,1.305,0.8740000000000001,0.20199999999999999,0.6809999999999999,0.39299999999999996
Norway,2,7.593999999999999,1.456,0.861,0.28600000000000003,0.6859999999999999,0.34
Denmark,3,7.555,1.351,0.868,0.284,0.6829999999999999,0.408
Iceland,4,7.495,1.3430000000000002,0.914,0.353,0.677,0.138
Switzerland,5,7.487,1.42,0.927,0.256,0.66,0.35700000000000004
Netherlands,6,7.441,1.361,0.878,0.33299999999999996,0.638,0.295
Canada,7,7.327999999999999,1.33,0.8959999999999999,0.321,0.653,0.29100000000000004
New Zealand,8,7.324,1.268,0.8759999999999999,0.365,0.669,0.389
Sweden,9,7.314,1.355,0.9129999999999999,0.285,0.659,0.38299999999999995
Australia,10,7.272,1.34,0.91,0.361,0.647,0.302
United Kingdom,11,7.19,1.244,0.888,0.262,0.46399999999999997,0.08199999999999999
Austria,12,7.138999999999999,1.341,0.8909999999999999,0.242,0.617,0.22399999999999998
Costa Rica,13,7.072,1.01,0.8170000000000001,0.14300000000000002,0.632,0.10099999999999999
Ireland,14,6.977,1.4480000000000002,0.8759999999999999,0.307,0.614,0.306
Germany,15,6.965,1.34,0.861,0.273,0.586,0.28
Belgium,16,6.9270000000000005,1.324,0.894,0.188,0.583,0.24
Luxembourg,17,6.91,1.5759999999999998,0.8959999999999999,0.196,0.632,0.321
United States,18,6.886,1.3980000000000001,0.8190000000000001,0.29100000000000004,0.547,0.133
Israel,19,6.814,1.301,0.883,0.354,0.5329999999999999,0.272
United Arab Emirates,20,6.774,2.096,0.67,0.18600000000000003,0.284,0.08199999999999999
Czech Republic,21,6.711,1.2329999999999999,0.8540000000000001,0.064,0.5429999999999999,0.034
Malta,22,6.627000000000001,1.27,0.884,0.376,0.645,0.142
France,23,6.489,1.2930000000000001,0.9079999999999999,0.098,0.52,0.17600000000000002
Mexico,24,6.4879999999999995,1.038,0.7609999999999999,0.069,0.479,0.095
Chile,25,6.476,1.131,0.8079999999999999,0.19699999999999998,0.431,0.061
Panama,27,6.43,1.112,0.759,0.125,0.597,0.063
Brazil,28,6.419,0.986,0.675,0.11,0.493,0.08800000000000001
Argentina,29,6.388,1.073,0.7440000000000001,0.062,0.57,0.054000000000000006
Guatemala,30,6.382000000000001,0.7809999999999999,0.608,0.179,0.604,0.071
Uruguay,31,6.379,1.093,0.7709999999999999,0.13,0.625,0.155
Qatar,32,6.374,1.649,0.748,0.256,0.654,0.171
Saudi Arabia,33,6.371,1.379,0.633,0.098,0.509,0.127
Singapore,34,6.343,1.5290000000000001,1.008,0.261,0.631,0.457
Malaysia,35,6.322,1.161,0.669,0.311,0.35600000000000004,0.059000000000000004
Spain,36,6.31,1.251,0.965,0.142,0.449,0.07400000000000001
Colombia,37,6.26,0.96,0.635,0.099,0.531,0.039
Slovakia,39,6.172999999999999,1.21,0.7759999999999999,0.11800000000000001,0.354,0.013999999999999999
El Salvador,40,6.167000000000001,0.8059999999999999,0.639,0.065,0.461,0.08199999999999999
Nicaragua,41,6.141,0.6679999999999999,0.7,0.20800000000000002,0.527,0.128
Poland,42,6.122999999999999,1.176,0.7809999999999999,0.10800000000000001,0.546,0.064
Bahrain,43,6.105,1.338,0.698,0.243,0.594,0.12300000000000001
Kuwait,45,6.082999999999999,1.474,0.675,0.16699999999999998,0.5539999999999999,0.106
Thailand,46,6.072,1.016,0.7070000000000001,0.364,0.637,0.028999999999999998
Italy,47,6.0,1.264,0.946,0.13699999999999998,0.281,0.027999999999999997
Ecuador,48,5.973,0.889,0.736,0.114,0.556,0.12
Lithuania,50,5.952000000000001,1.197,0.716,0.026000000000000002,0.35,0.006
Slovenia,51,5.9479999999999995,1.219,0.856,0.16,0.633,0.051
Romania,52,5.945,1.1159999999999999,0.726,0.08800000000000001,0.528,0.001
Latvia,53,5.933,1.148,0.6709999999999999,0.092,0.363,0.066
Japan,54,5.915,1.294,0.988,0.079,0.5529999999999999,0.15
Mauritius,55,5.891,1.09,0.684,0.245,0.584,0.05
Jamaica,56,5.89,0.8190000000000001,0.693,0.096,0.575,0.031
South Korea,57,5.875,1.266,0.955,0.175,0.244,0.051
Russia,59,5.81,1.151,0.599,0.065,0.39899999999999997,0.025
Kazakhstan,60,5.79,1.143,0.631,0.14800000000000002,0.45399999999999996,0.121
Cyprus,61,5.7620000000000005,1.229,0.909,0.20199999999999999,0.423,0.035
Bolivia,62,5.752000000000001,0.7509999999999999,0.508,0.141,0.606,0.054000000000000006
Estonia,63,5.739,1.2,0.737,0.086,0.5529999999999999,0.174
Paraguay,64,5.681,0.835,0.615,0.162,0.541,0.07400000000000001
Peru,65,5.662999999999999,0.934,0.674,0.092,0.53,0.034
Moldova,67,5.64,0.657,0.62,0.171,0.23199999999999998,0.0
Hungary,69,5.62,1.171,0.732,0.061,0.259,0.022000000000000002
Libya,70,5.566,0.985,0.5529999999999999,0.11599999999999999,0.496,0.14800000000000002
Philippines,71,5.524,0.775,0.513,0.12,0.643,0.105
Honduras,72,5.504,0.62,0.622,0.19699999999999998,0.45899999999999996,0.07400000000000001
Belarus,73,5.483,1.0390000000000001,0.7,0.10099999999999999,0.307,0.154
Turkey,74,5.483,1.148,0.6859999999999999,0.106,0.324,0.109
Pakistan,75,5.472,0.652,0.424,0.21600000000000003,0.33399999999999996,0.113
Portugal,77,5.41,1.188,0.884,0.055,0.562,0.017
Serbia,78,5.398,0.975,0.685,0.134,0.28800000000000003,0.043
Greece,79,5.358,1.1540000000000001,0.879,0.0,0.131,0.044000000000000004
Lebanon,80,5.358,0.965,0.785,0.214,0.503,0.136
Montenegro,81,5.347,1.0170000000000001,0.7290000000000001,0.111,0.259,0.081
Croatia,82,5.321000000000001,1.115,0.737,0.12,0.38,0.039
Dominican Republic,83,5.3020000000000005,0.982,0.614,0.12,0.578,0.106
Algeria,84,5.295,0.9790000000000001,0.687,0.055,0.077,0.135
Morocco,85,5.254,0.779,0.669,0.026000000000000002,0.46,0.07400000000000001
China,86,5.246,0.9890000000000001,0.799,0.028999999999999998,0.597,0.10300000000000001
Azerbaijan,87,5.2010000000000005,1.024,0.603,0.031,0.43,0.17600000000000002
Tajikistan,88,5.199,0.474,0.598,0.187,0.292,0.034
Jordan,90,5.1610000000000005,0.8220000000000001,0.645,0.13,0.46799999999999997,0.134
Nigeria,91,5.155,0.6890000000000001,0.048,0.201,0.462,0.032
Kyrgyzstan,92,5.131,0.53,0.594,0.281,0.54,0.035
Mongolia,94,5.125,0.914,0.575,0.253,0.395,0.032
