rank,Country,score,pop2021
1,Hong Kong,8.94,7552.81
2,Singapore,8.65,5896.686
3,New Zealand,8.53,4860.643
4,Switzerland,8.43,8715.494
5,Australia,8.23,25788.215
6,United States,8.22,332915.073
7,Mauritius,8.21,1273.433
8,Georgia,8.18,3979.765
9,Canada,8.17,38067.903
10,Ireland,8.13,4982.907
11,Denmark,8.1,5813.298
12,Lithuania,8.1,2689.862
13,United Kingdom,8.08,68207.116
14,Chile,7.96,19212.361
15,Estonia,7.96,1325.185
17,Malta,7.94,442.784
16,Taiwan,7.94,23855.01
18,Armenia,7.92,2968.127
19,Latvia,7.89,1866.942
20,Japan,7.88,126050.804
21,Germany,7.85,83900.473
22,Cyprus,7.84,1215.584
23,Romania,7.83,19127.774
24,Netherlands,7.82,17173.099
25,Czech Republic,7.81,10724.555
28,Albania,7.8,2872.933
26,Austria,7.8,9043.07
27,Panama,7.8,4381.579
30,Finland,7.76,5548.36
29,Peru,7.76,33359.418
31,Luxembourg,7.75,634.814
32,Bulgaria,7.74,6896.663
33,Spain,7.73,46745.216
34,Iceland,7.71,343.353
35,Guatemala,7.7,18249.86
37,Jamaica,7.69,2973.463
36,South Korea,7.69,51305.186
38,Slovakia,7.63,5460.721
41,Costa Rica,7.62,5139.052
40,Israel,7.62,8789.774
39,Jordan,7.62,10269.021
44,Botswana,7.6,2397.241
43,Norway,7.6,5465.63
42,Portugal,7.6,10167.925
46,Dominican Republic,7.58,10953.703
45,Malaysia,7.58,32776.194
47,Sweden,7.58,10160.169
48,Belgium,7.56,11632.326
49,Uganda,7.55,47123.531
50,Italy,7.51,60367.477
51,Seychelles,7.49,98.908
52,Hungary,7.44,9634.164
54,Mongolia,7.43,3329.289
53,Philippines,7.43,111046.913
55,El Salvador,7.41,6518.499
56,France,7.4,65426.179
57,Indonesia,7.39,276361.783
58,Rwanda,7.39,13276.513
59,Croatia,7.36,4081.651
60,Slovenia,7.33,2078.724
61,Cambodia,7.28,16946.438
62,Honduras,7.28,10062.991
63,Trinidad and Tobago,7.26,1403.375
64,Uruguay,7.25,3485.151
65,Paraguay,7.23,7219.638
66,Mexico,7.21,130262.216
67,Zambia,7.19,18920.651
68,Bahrain,7.16,1748.296
69,North Macedonia,7.15,2082.658
70,Kazakhstan,7.12,18994.962
73,Nicaragua,7.05,6702.385
72,Serbia,7.05,8697.55
71,United Arab Emirates,7.05,9991.089
74,Poland,7.04,37797.005
75,Kyrgyzstan,6.99,6628.356
76,Moldova,6.99,4024.019
77,Montenegro,6.94,628.053
78,Nigeria,6.93,211400.708
80,Lebanon,6.88,6769.146
81,Qatar,6.88,2930.528
79,Sri Lanka,6.88,21497.31
82,Kenya,6.84,54985.698
83,Oman,6.79,5223.375
84,Thailand,6.75,69950.85
85,Russia,6.74,145912.025
87,South Africa,6.73,60041.994
86,Tanzania,6.73,61498.437
88,Colombia,6.71,51265.844
89,Greece,6.71,10370.744
90,Morocco,6.7,37344.795
91,Guyana,6.68,790.326
92,Ghana,6.65,31732.129
93,Lesotho,6.65,2159.079
94,Bhutan,6.63,779.898
96,Laos,6.62,7379.358
95,Turkey,6.62,85042.738
98,Belize,6.6,404.914
97,Kuwait,6.6,4328.55
99,Haiti,6.58,11541.685
101,Brazil,6.56,213993.437
100,India,6.56,1393409.038
102,Namibia,6.52,2587.344
103,Fiji,6.5,902.906
104,Nepal,6.48,29674.92
105,Ecuador,6.46,17888.475
106,Papua New Guinea,6.39,9119.01
107,Azerbaijan,6.37,10223.342
108,Suriname,6.37,591.8
109,Belarus,6.35,9442.862
110,Saudi Arabia,6.31,35340.683
111,Bolivia,6.3,11832.94
112,Timor-Leste,6.29,1343.873
113,Liberia,6.28,5180.203
115,Eswatini,6.27,1172.362
114,Senegal,6.27,17196.301
116,Togo,6.25,8478.25
118,Barbados,6.22,287.711
117,Mauritania,6.22,4775.119
119,China,6.21,1444216.107
122,Benin,6.2,12451.04
121,Madagascar,6.2,28427.328
120,Vietnam,6.2,98168.833
123,Pakistan,6.07,225199.937
124,Tunisia,6.07,11935.766
125,Ukraine,6.06,43466.819
126,Tajikistan,6.05,9749.627
128,Burundi,5.94,12255.433
127,Mozambique,5.94,32163.047
129,Mali,5.93,20855.735
130,Sierra Leone,5.87,8141.343
131,Gabon,5.86,2278.825
133,Burkina Faso,5.85,21497.096
132,Cameroon,5.85,27224.265
134,Myanmar,5.81,54806.012
135,Malawi,5.79,19647.684
136,Argentina,5.78,45605.826
137,Chad,5.71,16914.985
138,Ethiopia,5.61,117876.227
139,Iraq,5.61,41179.35
140,Guinea,5.57,13497.244
141,Yemen,5.51,30490.64
142,Guinea-Bissau,5.46,2015.494
143,Syria,5.45,18275.702
144,Egypt,5.38,104258.327
145,Central African Republic,5.27,4919.981
146,Zimbabwe,5.12,15092.171
147,Algeria,4.97,44616.624
148,Iran,4.8,85028.759
149,Angola,4.75,33933.61
150,Libya,4.72,6958.532
151,Sudan,4.21,44909.353
152,Venezuela,3.34,28704.954
