Country,Happiness Rank_2015,Happiness Score_2015,Economy (GDP per Capita)_2015,Health (Life Expectancy)_2015,Generosity_2015,Freedom_2015,Trust (Government Corruption)_2015,Happiness Rank_2016,Happiness Score_2016,Economy (GDP per Capita)_2016,Health (Life Expectancy)_2016,Generosity_2016,Freedom_2016,Trust (Government Corruption)_2016,Happiness Rank_2017,Happiness Score_2017,Economy (GDP per Capita)_2017,Health (Life Expectancy)_2017,Generosity_2017,Freedom_2017,Trust (Government Corruption)_2017,Happiness Rank_2018,Happiness Score_2018,Economy (GDP per Capita)_2018,Health (Life Expectancy)_2018,Generosity_2018,Freedom_2018,Trust (Government Corruption)_2018,Happiness Rank_2019,Happiness Score_2019,Economy (GDP per Capita)_2019,Health (Life Expectancy)_2019,Generosity_2019,Freedom_2019,Trust (Government Corruption)_2019,Economic Freedom Rank,Economic Freedom Score
Switzerland,1,7.587000000000001,1.3965100000000001,0.9414299999999999,0.29678000000000004,0.66557,0.41978000000000004,2,7.5089999999999995,1.5273299999999999,0.86303,0.28083,0.58557,0.41203,4,7.49399995803833,1.5649795532226598,0.858131289482117,0.29054927825927696,0.620070576667786,0.36700728535652205,5,7.487,1.42,0.927,0.256,0.66,0.35700000000000004,6,7.48,1.452,1.052,0.263,0.5720000000000001,0.34299999999999997,4,8.43
Iceland,2,7.561,1.3023200000000001,0.94784,0.4363,0.6287699999999999,0.14145,3,7.501,1.42666,0.8673299999999999,0.47678000000000004,0.56624,0.14975,3,7.50400018692017,1.480633020401,0.8335521221160892,0.47554022073745705,0.6271626353263849,0.15352655947208402,4,7.495,1.3430000000000002,0.914,0.353,0.677,0.138,4,7.494,1.38,1.026,0.354,0.591,0.11800000000000001,34,7.71
Denmark,3,7.527,1.32548,0.87464,0.34139,0.6493800000000001,0.48357,1,7.526,1.4417799999999998,0.79504,0.36171,0.5794100000000001,0.44453000000000004,2,7.52199983596802,1.48238301277161,0.7925655245780941,0.3552804887294771,0.626006722450256,0.40077006816863997,3,7.555,1.351,0.868,0.284,0.6829999999999999,0.408,2,7.6,1.383,0.996,0.252,0.5920000000000001,0.41,11,8.1
Norway,4,7.522,1.459,0.88521,0.34699,0.66973,0.36503,4,7.497999999999999,1.57744,0.79579,0.37895,0.59609,0.35775999999999997,1,7.537000179290769,1.6164631843566901,0.796666502952576,0.36201223731041,0.635422587394714,0.31596383452415505,2,7.593999999999999,1.456,0.861,0.28600000000000003,0.6859999999999999,0.34,3,7.553999999999999,1.4880000000000002,1.028,0.271,0.603,0.341,43,7.6
Canada,5,7.4270000000000005,1.32629,0.9056299999999999,0.45811,0.63297,0.32957,6,7.404,1.44015,0.8276,0.44833999999999996,0.5737,0.31329,7,7.31599998474121,1.47920441627502,0.83455765247345,0.435539722442627,0.611100912094116,0.287371516227722,7,7.327999999999999,1.33,0.8959999999999999,0.321,0.653,0.29100000000000004,9,7.278,1.365,1.0390000000000001,0.285,0.584,0.308,9,8.17
Finland,6,7.406000000000001,1.29025,0.8891100000000001,0.23351,0.64169,0.41372,5,7.412999999999999,1.40598,0.81091,0.25492,0.57104,0.41003999999999996,5,7.468999862670901,1.44357192516327,0.80915766954422,0.24548277258873,0.6179508566856379,0.38261154294014,1,7.632000000000001,1.305,0.8740000000000001,0.20199999999999999,0.6809999999999999,0.39299999999999996,1,7.769,1.34,0.986,0.153,0.596,0.39299999999999996,30,7.76
Netherlands,7,7.377999999999999,1.32944,0.89284,0.4761,0.6157600000000001,0.31814000000000003,7,7.3389999999999995,1.46468,0.8123100000000001,0.47416,0.55211,0.29927,6,7.3769998550415,1.50394463539124,0.8106961250305179,0.47048982977867104,0.5853844881057739,0.282661825418472,6,7.441,1.361,0.878,0.33299999999999996,0.638,0.295,5,7.4879999999999995,1.396,0.9990000000000001,0.322,0.557,0.298,24,7.82
Sweden,8,7.364,1.33171,0.9108700000000001,0.36262,0.6598,0.43843999999999994,10,7.291,1.45181,0.83121,0.38254,0.58218,0.40867,9,7.28399991989136,1.49438726902008,0.830875158309937,0.38539925217628496,0.612924098968506,0.384398728609085,9,7.314,1.355,0.9129999999999999,0.285,0.659,0.38299999999999995,7,7.343,1.3869999999999998,1.0090000000000001,0.267,0.574,0.373,47,7.58
New Zealand,9,7.2860000000000005,1.2501799999999998,0.9083700000000001,0.47501000000000004,0.6393800000000001,0.42922,8,7.334,1.36066,0.83096,0.49401000000000006,0.5814699999999999,0.41903999999999997,8,7.31400012969971,1.40570604801178,0.816759705543518,0.500005125999451,0.6140621304512021,0.38281670212745705,8,7.324,1.268,0.8759999999999999,0.365,0.669,0.389,8,7.307,1.3030000000000002,1.026,0.33,0.585,0.38,3,8.53
Australia,10,7.284,1.33358,0.93156,0.43562,0.6512399999999999,0.35636999999999996,9,7.313,1.4444299999999999,0.8512,0.47407,0.5683699999999999,0.32331,10,7.28399991989136,1.4844149351120002,0.84388679265976,0.47769924998283403,0.601607382297516,0.301183730363846,10,7.272,1.34,0.91,0.361,0.647,0.302,11,7.228,1.3719999999999999,1.036,0.332,0.557,0.29,5,8.23
