Country,Happiness Rank_2015,Happiness Score_2015,Economy (GDP per Capita)_2015,Health (Life Expectancy)_2015,Generosity_2015,Freedom_2015,Trust (Government Corruption)_2015,Happiness Rank_2016,Happiness Score_2016,Economy (GDP per Capita)_2016,Health (Life Expectancy)_2016,Generosity_2016,Freedom_2016,Trust (Government Corruption)_2016,Happiness Rank_2017,Happiness Score_2017,Economy (GDP per Capita)_2017,Health (Life Expectancy)_2017,Generosity_2017,Freedom_2017,Trust (Government Corruption)_2017,Happiness Rank_2018,Happiness Score_2018,Economy (GDP per Capita)_2018,Health (Life Expectancy)_2018,Generosity_2018,Freedom_2018,Trust (Government Corruption)_2018,Happiness Rank_2019,Happiness Score_2019,Economy (GDP per Capita)_2019,Health (Life Expectancy)_2019,Generosity_2019,Freedom_2019,Trust (Government Corruption)_2019,Economic Freedom Rank,Economic Freedom Score,QuantileRank,Happiness Score_avg,Economy_avg,Health_avg,Generosity_avg,Freedom_avg,Trust_avg
Venezuela,23,6.81,1.04424,0.7205199999999999,0.058410000000000004,0.42908,0.11069000000000001,44,6.084,1.1336700000000002,0.6190399999999999,0.0425,0.19847,0.08304,82,5.25,1.12843120098114,0.617144227027893,0.0650196298956871,0.15399712324142498,0.0644911229610443,102,4.806,0.996,0.657,0.055999999999999994,0.133,0.052000000000000005,108,4.707,0.96,0.805,0.064,0.154,0.047,152,3.34,,5.5314,1.052468240196228,0.6837408454055786,0.05718592597913742,22.34407816046306,0.07144422459220887
Libya,63,5.754,1.13145,0.7038,0.18295,0.41668,0.11023,67,5.615,1.0668799999999998,0.52304,0.17087,0.40671999999999997,0.10339000000000001,68,5.525000095367429,1.1018030643463101,0.520169019699097,0.15207366645336198,0.465733230113983,0.0926102101802826,70,5.566,0.985,0.5529999999999999,0.11599999999999999,0.496,0.14800000000000002,72,5.525,1.044,0.6729999999999999,0.133,0.41600000000000004,0.152,150,4.72,,5.597000019073485,1.065826612869262,0.5946018039398193,0.1509787332906724,22.41730474715914,0.12124604203605653
Iran,110,4.686,1.0088,0.69805,0.38086,0.30033000000000004,0.058629999999999995,105,4.813,1.11758,0.64232,0.38538,0.22544,0.0557,108,4.69199991226196,1.15687310695648,0.639333188533783,0.387242913246155,0.24932260811328896,0.048761073499918005,106,4.707,1.0590000000000002,0.691,0.282,0.45899999999999996,0.129,117,4.548,1.1,0.785,0.27,0.305,0.125,148,4.8,,4.689199982452392,1.0884506213912961,0.6911406377067566,0.34109658264923104,22.048441801159044,0.0834182146999836
Algeria,68,5.605,0.93929,0.61766,0.07822,0.28579,0.17382999999999998,38,6.355,1.05266,0.6180399999999999,0.07044,0.21006,0.16157,53,5.872000217437741,1.09186446666718,0.6175846457481379,0.0694366469979286,0.233335807919502,0.14609611034393302,84,5.295,0.9790000000000001,0.687,0.055,0.077,0.135,88,5.211,1.002,0.785,0.073,0.086,0.114,147,4.97,,5.667600043487548,1.012962893333436,0.6650569291496277,0.06921932939958572,21.83745511541707,0.14609922206878662
Zimbabwe,115,4.61,0.271,0.33475,0.18987,0.25861,0.08079,131,4.1930000000000005,0.35041,0.1595,0.18503,0.25429,0.08582000000000001,138,3.875,0.37584653496742204,0.19676375389099102,0.189143493771553,0.336384207010269,0.0953753814101219,144,3.6919999999999997,0.35700000000000004,0.248,0.132,0.406,0.099,146,3.6630000000000003,0.366,0.433,0.151,0.361,0.08900000000000001,146,5.12,,4.006600000000001,0.3440513069934844,0.2744027507781982,0.1694086987543106,21.81946917243004,0.08999707628202439
Egypt,135,4.194,0.8818,0.61712,0.11291,0.17288,0.06324,120,4.362,0.95395,0.5211600000000001,0.12705999999999998,0.18847,0.10393,104,4.7350001335144,0.989701807498932,0.520187258720398,0.128631442785263,0.28211015462875394,0.114381365478039,122,4.419,0.885,0.5529999999999999,0.092,0.312,0.107,137,4.166,0.9129999999999999,0.644,0.076,0.24100000000000002,0.067,144,5.38,,4.37520002670288,0.9246903614997863,0.5710934517440795,0.10732028855705258,21.51092287923268,0.09111027309560779
Syria,156,3.0060000000000002,0.6632,0.7219300000000001,0.47179,0.15684,0.18905999999999998,156,3.069,0.7471899999999999,0.6299399999999999,0.48396999999999996,0.06912,0.17232999999999998,152,3.46199989318848,0.777153134346008,0.5005333423614501,0.49366372823715204,0.0815394446253777,0.15134713053703303,150,3.4619999999999997,0.6890000000000001,0.539,0.376,0.08800000000000001,0.14400000000000002,149,3.4619999999999997,0.619,0.44,0.331,0.013000000000000001,0.141,143,5.45,,3.292199978637696,0.6991086268692015,0.5662806684722901,0.4312847456474304,21.26549992066077,0.1595474261074066
Yemen,136,4.077,0.5464899999999999,0.40064,0.09131,0.35570999999999997,0.07854,147,3.7239999999999998,0.57939,0.31048000000000003,0.09821,0.2287,0.05892000000000001,146,3.59299993515015,0.5916834473609921,0.310080915689468,0.104125209152699,0.24946372210979503,0.0567674227058887,152,3.355,0.442,0.34299999999999997,0.083,0.244,0.064,151,3.38,0.287,0.46299999999999997,0.10800000000000001,0.14300000000000002,0.077,141,5.51,,3.6257999870300304,0.4893126894721984,0.36544018313789356,0.09692904183053981,21.104410531729968,0.06704548454117774
Guinea,150,3.656,0.17417,0.24009,0.28657,0.37725,0.12139000000000001,151,3.6069999999999998,0.22415,0.18829,0.29914,0.30953,0.1192,149,3.50699996948242,0.24454993009567302,0.194129139184952,0.264815092086792,0.348587512969971,0.110937617719173,140,3.964,0.344,0.21100000000000002,0.185,0.39399999999999996,0.094,118,4.534,0.38,0.375,0.207,0.332,0.086,140,5.57,,3.853599993896484,0.2733739860191346,0.2417018278369904,0.24850501841735842,21.047338216138566,0.1063055235438346
Iraq,112,4.677,0.98549,0.60237,0.17922000000000002,0.0,0.13788,112,4.575,1.07474,0.51076,0.19589,0.24856,0.13635999999999998,117,4.49700021743774,1.1027104854583702,0.501180469989777,0.19963726401329,0.288555532693863,0.10721575468778599,117,4.456,1.01,0.536,0.14800000000000002,0.304,0.095,126,4.437,1.043,0.574,0.14800000000000002,0.24100000000000002,0.08900000000000001,139,5.61,,4.528400043487548,1.043188097091674,0.5448620939979554,0.174149452802658,20.813159361813412,0.1130911509375572
